Old Family #,Family Name,Looked at?,Subproblem,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Title,Authors,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"Uses Valiant's [1975] merge technique; ""enumeration sorting"", allows fetch conflicts",,,,,,,,Preperata (1),1977,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167&tag=1,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n \log^2{n})$,12,,,n: size of list,,,,SIMD-SM-R ? (memory fetch conflicts),210,,,,,,,,,0,,0,,,1,$n \log{n}$,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"Uses Valiant's [1975] merge technique; ""enumeration sorting"", doesn't allow fetch conflicts",,,,,,,,Preperata (2),1977,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167&tag=1,,,,,,,,$C/alpha \log{n} + o(\log{n})$,$O(\log{n})$,1,,$n^(1+alpha) \log{n}$,11,,,"n: size of list
0>alpha<=1
C: constant",,,,SIMD-SM ? (no memory fetch conflicts),200,,,,,,,,,0,,0,,,1,$n^(1+alpha)$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,s^2-way merge sort - Thompson and Kung (1),1977,https://dl.acm.org/doi/abs/10.1145/359461.359481,,,,,,,,$O(n^0.5)$,$O(n^0.5)$,6,,$O(n^1.5)$,16,,optimal within a factor of 2 for large n,"n: size of list (n=mxm, m assumed to be power of 2)",,,,"similar to ILLIAC IV machine, SIMD, mesh-connected array",200,,,,,,,,,0,,0,,,1,$n$,10,,,mentions lower bound,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,adaptation of Batcher's bitonic merge sort - Thompson and Kung (2),1977,https://dl.acm.org/doi/abs/10.1145/359461.359481,,,,,,,,$O(n^0.5)$,$O(n^0.5)$,6,,$O(n^1.5)$,16,,optimal within a factor of 4.5,"n: size of list (n=mxm, m assumed to be power of 2)",,,,"similar to ILLIAC IV machine, SIMD, mesh-connected array",200,,,,,,,,,0,,0,,,1,$n$,10,,,mentions lower bound,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,Hardware sorter,,,,,,,,"Rebound sort - Chen, Lum, Tung ",1978,"https://dl.acm.org/doi/abs/10.5555/1286643.1286685 //
https://drive.google.com/file/d/1LOwpJ7Ct7aSE07Ks0xPWbXtSx2DUZP1p/view?usp=sharing (section 2.2.3)",4,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,0,,0,,,1,$n-1$,10,,,,,,,Rezaul: Section 2.2.3 of the following thesis describes (with performance bounds) the rebound-sorter from Cehn et al.'s 1978 paper: https://drive.google.com/file/d/1LOwpJ7Ct7aSE07Ks0xPWbXtSx2DUZP1p/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,"Odd-even transposition sort w/ uniform ladder - Chen, Eswaran, Lum, Tung",1978,https://link.springer.com/article/10.1007/BF00991635,,,,,,,,$(n+1)/2$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,0,,0,,,1,$n-1$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Todd,1978,https://ieeexplore.ieee.org/abstract/document/5390917,,,,,,,,$2n+\log{n}-1$,$O(n)$,10,,$O(n\log{n})$,11,,,n: size of list,,,,hardware sorter,520,,,,,,,,,0,,0,,,1,$\log{n}$,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,adaptation of Batcher's bitonic sort on a mesh-connected processor array,,,,,,,,Nassimi and Sahni,1979,https://ieeexplore.ieee.org/abstract/document/1675216,,,,,,,,$O(n^0.5)$,$O(n^0.5)$,6,,$O(n^1.5)$,16,,,n: size of list,,,,SIMD,200,,,,,,,,,0,,0,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,network sorter,,,,,,,,Preperata and Vuillemin,1979,https://ieeexplore.ieee.org/abstract/document/4568010,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n\log^2{n})$,12,,,n: size of list,,,,"network sorter; ""compliant with VLSI design""; Cube connected cycles",510,,,,,,,,,0,,0,,,1,$n$,10,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"Hardware sorter; block access memory, has two processor-to-processor interconnections",,,,,,,,odd-even sort - Hsiao and Menon (1),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,$O(n/p \log{n/p} + n)$,$O(n)$,10,,$O(n \log{n/p} + np)$,11,,YES,"n: size of list
p: number of processors
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,520,,,,,,,,,0,,0,,,1,$p$,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"Hardware sorter; block access memory, has two processor-to-processor interconnections",,,,,,,,modified Stone sort - Hsiao and Menon (2),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,$O(n/p \log{n/p} + n/p \log^2{p})$,$O(\log^2{n})$,2,,$O(n \log{n/p} + n \log^2{p})$,11,,YES,"n: size of list
p: number of processors
p - has to be a power of 2
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,520,,,,,,,,,0,,0,,,1,$p$,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,hardware sorter; only works for specific number of processors - once built works only for the given value of p,,,,,,,,specialized minimum time sort - Hsiao and Menon (3),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,$O(n/p \log{n/p})$,$O(1)$,1,,$O(n \log{n/p})$,11,,YES,"n: size of list
p: number of processors
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,520,,,,,,,,,0,,0,,,1,$p$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,"sorting on two or more ladders - Chin, Fok",1980,https://ieeexplore.ieee.org/abstract/document/1675633,,,,,,,,$2n+1$,$O(n)$,10,,$O(n^2)$ ?,20,,,"m: loops per ladder
n: size of list",,,,hardware sorter,520,,,,,,,,,0,,0,,,1,$O((n-1)(m-1))$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,two round sorting,,,,,,,,Haggkvist and Hell,1981,https://epubs.siam.org/doi/abs/10.1137/0210034,,,,,,,,2 // O(1),$O(1)$,0,,$O(n^(3/2) \log{n})$,16.1,,,,,https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5,,sorting network,510,,,,,,,,,0,,0,,,1,$O(n^(3/2) \log{n})$,16.1,,,"mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf)
mentions lower bounds",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Lee et al.,1981,https://ieeexplore.ieee.org/abstract/document/1675805,,,,,,,,$2n$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,0,,0,,,1,$n/2$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Shiloach and Vishkin,1981,https://link.springer.com/chapter/10.1007/BFb0105127,,,,,,,,"$O(n/p log n + log n log p)$ for $p<=n$
$O(log^2(n)/log(p/n) + log n)$ for $p>=n$",$O(\log{n})$,1,,$O(n log n)$ if p<n or $O(p log n)$ if p>=n,11,,"optimal for p<=n/log n,
same result for p=ceiling(n^(1+1/k)) as Hirschberg '78 and Preperata '78","n: size of list
p: number of processors",,,,SIMD-R ??,210,,,,,,,,,0,,0,,,1,$p$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,randomized,,,0,,,https://ieeexplore.ieee.org/abstract/document/4568337,,Reischuk,1981,https://ieeexplore.ieee.org/abstract/document/4568337,,,,,,,,$O(\log{n})$,$O(\log{n})$ expected,1,,$O(n \log{n})$ expected,11,,,n: size of list,,,,CREW PRAM,130,,,,,,,,,1,,0,,,1,$n$,10,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,hardware sorter,,,,,,,,Dohi et al.,1982,https://dl.acm.org/doi/abs/10.1145/1067649.801730,,,,,,,,n b tau (a+1+(n-l)/2^(l-1)),n b tau (a+1+(n-l)/2^(l-1)),10,,2^l n b tau (a+1+(n-l)/2^(l-1)),20,,,"n: size of list (power of two)
b: length of data items in bytes
l: level of bottom processors
tau=1/T: average time to send byte from node after sorting
M: bus transfer rate
a=T/M",,,,hardware sorter,520,,,,,,,,,0,,0,,,1,2^l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Parallel enumeration sorting scheme - Yasuura et al.,1982,https://ieeexplore.ieee.org/abstract/document/1675943,,,,,,,,$2n$,$O(n)$,10,,$O(n^2)$,20,,,"n: size of list (has integer keys, binary representation)",,,,hardware sorter,520,,,,,,,,,0,,0,,,1,$n$,10,,,,,,,"Rezaul: When sorting a sequence of length n using a single sorter of size m >= n (i.e., containing m cells/processors) the time required is O(n). This is optimal assuming that the input sequence must be fed to the sorter sequentially. The paper seems to mean that data is transferred from the memory to the sorter sequentially but it does not clearly state if multiple sequences can be read from memory simultaneously. When n > m, then the input sequence is divided into n/m segments and the single sorter is used once for each of (n/m)^2 pairs of segments. Since the sorter takes O(m) time every time it is used, total time complexity is O(n^2/m). The time complexity can be reduced by using multiple sorters in parallel. However, the way they describe it is a bit confusing. The paper says that (n/m)^2 sorters will be used in parallel. But doing so will require simultaneously accessing (n/m) segments from the memory. That will require only O(m) time for reading the input and computing the c_ij values. Seems like the O(n) time complexity comes from writing the c_i values sequentially to the memory. To me it seems like one can use only n/m sorters in a pipelined sequence (like a single sorter of size n composed of n/m sorters of size m each put in sequence) and read the input only once from the memory and execute the entire algorithm like the algorithm for the original m >= n case. This will require only O(n) time. ",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,"N&S sort - Nassimi, Sahni",1982,https://dl.acm.org/doi/pdf/10.1145/322326.322329,,,,,,,,$O(k \log{n})$,$O(\log{n})$,1,,$O(n^(1+1/k) k \log{n})$,15.012,,,"n: size of list (power of two ?)
1<=k<=log n",,,,"network sorter, SIMD (Cube connected and perfect shuffle)",200,,,,,,,,,0,,0,,,1,n^(1+1/k),15.011,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,"Cheung, Dhall, Lakshmivarahan, Miller, Walker",1982,https://dl.acm.org/doi/abs/10.1145/800174.809751,,,,,,,,$O(n)$,$O(n)$,10,,$O(n\log{n})$,11,,,n: size of list,,,,binary tree network - sorting network,510,,,,,,,,,,,,,,1,$O(\log{n})$,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"""sorting network""; expander graphs, epsilon-halving, epsilon-nearsort",,,,,,,,"Ajtai, Komlos, Szemeredi (AKS)",1983,https://dl.acm.org/doi/pdf/10.1145/800061.808726,"""very large""; ""unsuitable for actual implementation""",,https://dl.acm.org/doi/pdf/10.1145/800061.808726,,,,,$O(\log{n})$,$O(\log{n})$,1,https://dl.acm.org/doi/pdf/10.1145/800061.808726,$O(n \log^2{n})$ ?,12,https://dl.acm.org/doi/pdf/10.1145/800061.808726,,n: size of list,n,,,"""comparator network - deterministic sequence of switches"" ??",510,,,,,,,,,0,,0,,,1,$n \log{n}$,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Kumar and Hirschberg,1983,https://ieeexplore.ieee.org/abstract/document/1676217,,,,,,,,11n^(1/2)t_r+2log n^(1/2) t_c +5/2 n^(1/2) t_e,11n^(1/2)t_r+2log n^(1/2) t_c +5/2 n^(1/2) t_e,6,,11n^(3/2)t_r+2nlog n^(1/2) t_c +5/2 n^(3/2) t_e,16,,,"n: size of list
t_r: routing time
t_c: compare-exchange time
t_e: exchange time",,,,"network sorter, SIMD ?",200,,,,,,,,,0,,0,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Kruskal,1983,https://ieeexplore.ieee.org/abstract/document/1676138/authors#authors,,,,,,,,1.893 log n loglog n / logloglog n,ceiling(log n/log G)((G-1)/floor(p/n)+log((G-1)/floor(p/n))+3/log3 loglog(p^2/n) +6) +O(Gn/p) = ??,1.09,https://ieeexplore.ieee.org/abstract/document/1676138/authors#authors,$O(n \log{n} \log{\log{n}} / \log{\log{\log{n}}}),11.09,,,"n: size of list
p: number of processors
G: number of processor groups",,,,CREW PRAM,120,,,,,,,,,0,,0,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Akl,1983,https://link.springer.com/article/10.1007/BF02243071,,,,,,,,$O(n^\epsilon)$,approaching O(1) ?,5.02,,$O(n \log{n})$,11,https://link.springer.com/article/10.1007/BF02243071,,"n: size of list
0<epsilon<1",,,,SIMD,200,,,,,,,,,0,,0,,,1,$n^(1-\epsilon)$,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,randomized,,,,O(log n),,,,Reif and Valiant,1983,https://dl.acm.org/doi/abs/10.1145/800061.808727,,,,,,,,$O(\alpha \log{n}) w/ high (1-n^(-alpha)) probability for big alpha,$O(\log{n})$ expected,1,,$O(n \log{n})$ expected,11,,,n: size of list,,,,sorting network,510,,,,,,,,,0,,0,,,1,$n$,10,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,"Miranker, Tang, Wong",1983,https://ieeexplore.ieee.org/abstract/document/5390461,,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,0,,0,,,1,$O(n)$,10,,,,,,,"Rezaul: Performs \Theta(n^2) work in \Theta(n) parallel time to sort n numbers. -added information, resolved",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Bollobas and Thomason,1983,https://www.sciencedirect.com/science/article/pii/0166218X83900951,,,,,,,,2 // $O(1)$,$O(1)$,0,,$O(\lfloor n^1.5 \log{n} \rfloor)$,,,,n: size of list,,https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5,,sorting network,510,,,,,,,,,,,,,,1,$O(\lfloor n^1.5 \log{n} \rfloor)$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Cyclic sort - Johnsson (1),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n log n/p) when p<<n
O(log^2(n)) when n~=p",$O(\log^2{n})$,2,,"O(np log n/p) when p<<n
O(nlog^2(n)) when n~=p",11,,,"n: size of list
p: number of processors (power of 2)",,,,MIMD,300,,,,,,,,,0,,0,,,1,p,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Consecutive sort - Johnsson (2),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n log n/p) when p<<n
O(log^2(n)) when n~=p",$O(\log^2{n})$,2,,"O(np log n/p) when p<<n
O(nlog^2(n)) when n~=p",11,,,"n: size of list
p: number of processors (power of 2)",,,,MIMD,300,,,,,,,,,0,,0,,,1,p,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting;,,,,,,,,,,Bucket sort - Johnsson (3),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n/p+L) when p<=L
O(n/p+L+log p log L) when p>L",O(n/p+L+log p log L) when p>L,1,,"O(n+pL) when p<=L
O(n+pL+plog p log L) when p>L",10,,,"n: size of list
p: number of processors (power of 2)
L: number of buckets elements are sorted into",,,,MIMD,300,,,,,,,,,0,,0,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
