Family Name, ,Looked at?,Subproblem (currently only for Parallel Algos),Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,DOI,Authors,Number of Authors,Title,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
The Subset-Sum Problem,66,2,Subset Sum,Subset Sum,12,,,1,1,O(σ^{(3/2)}),,,[https://doi.org/10.1002/(SICI)1097-0037(199905)33:3%3C189::AID-NET5%3E3.0.CO;2-2 Klinz (1999)],Klinz,1999,https://doi.org/10.1002/(SICI)1097-0037(199905)33:3%3C189::AID-NET5%3E3.0.CO;2-2,10.1002/(SICI)1097-0037(199905)33:3%3C189::AID-NET5%3E3.0.CO;2-2,"['Bettina Klinz', 'Gerhard J. Woeginger']",2,['A note on the bottleneck graph partition problem'],,,,0,0,4.5,"n: 4.5,
\sigma: 4.5",$O(σ^{(3/2)})$,,$\sigma$: sum of integers in the set ($\sigma \geq n$),n,,,,,1,"n: 1,
t: 3",O(t),"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
The Subset-Sum Problem,66,2,Subset Sum,Subset Sum,13,,,1,1,\tilde{O}(n max(S)),,,[https://www.sciencedirect.com/science/article/abs/pii/S019667749690841X?via%3Dihub Eppstein (1997)],Eppstein,1997,https://www.sciencedirect.com/science/article/abs/pii/S019667749690841X?via%3Dihub,,['David Eppstein'],1,['Minimum Range Balanced Cuts via Dynamic Subset Sums'],,,,0,0,4,"n: 4,
max(S): 3",$\tilde{O}(n max(S))$,,"n: number of elements in the set
S: the set
t: target sum",n,,,,,1,"n: 1,
t: 4",O(t logt),"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
The Subset-Sum Problem,66,2,Subset Sum,Subset Sum,14,,,1,1,\tilde{O}(n max(S)),,,[https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507 Serang (2014)],Serang,2014,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507,10.1371/journal.pone.0091507,['Oliver Serang'],1,['The Probabilistic Convolution Tree: Efficient Exact Bayesian Inference for Faster LC-MS/MS Protein Inference'],,,,0,0,4,"n: 4,
max(S): 3",$\tilde{O}(n max(S))$,,"n: number of elements in the set
S: the set
t: target sum",n,,,,,1,"n: 1,
t: 4",O(t logt),"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
The Subset-Sum Problem,66,2,Subset Sum,Subset Sum,15,,,1,1,\tilde{O}(n max(S)),,,[https://www.liebertpub.com/doi/10.1089/cmb.2015.0013 Serang (2015)],Serang,2015,https://www.liebertpub.com/doi/10.1089/cmb.2015.0013,10.1089/cmb.2015.0013,['Oliver Serang'],1,['A Fast Numerical Method for Max-Convolution and the Application to Efficient <tt>Max-Product</tt> Inference in Bayesian Networks'],,,,0,0,4,"n: 4,
max(S): 3",$\tilde{O}(n max(S))$,,"n: number of elements in the set
S: the set
t: target sum",n,,,,,1,"n: 1,
t: 4",O(t logt),"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
The Subset-Sum Problem,66,2,Subset Sum,Subset Sum,16,,,1,1,\tilde{O}(n^3 t),,,[https://dl.acm.org/doi/abs/10.1145/1806689.1806735 Lokshtanov (2010)],Lokshtanov,2010,https://dl.acm.org/doi/abs/10.1145/1806689.1806735,10.1145/1806689.1806735,"['Daniel Lokshtanov', 'Jesper Nederlof']",2,['Saving space by algebraization'],,,,0,0,6,"n: 6,
t: 3",$\tilde{O}(n^3 t)$,,"n: number of elements in the set
t: target sum",n,,,,,5,"n: 5,
t: 1",O(n^2),"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
Stable Matching Problem,78,2,,Almost Stable Matching Problem,17,,,1,0,O(1),,,"[https://arxiv.org/pdf/0812.4893.pdf Valentin Polishchuk, and Jukka Suomela (2008)]","Valentin Polishchuk, and Jukka Suomela",2008,https://arxiv.org/pdf/0812.4893.pdf,,"['Patrik Floréen', 'Petteri Kaski', 'Valentin Polishchuk', 'Jukka Suomela']",4,['Almost Stable Matchings in Constant Time'],,,,0,0,1,n: 1,O(1),0,n: number of people in set,n,,,Word RAM,words,1,n: 1,O(1),derived: must be \leq time complexity,1,0,,0,,1,2 + \epsilon,0,1,,0,0,,,,,,,,,,,,1,,,,,,,,,4,,,Combinatorics
Motif Search,99,2,,Motif Search,18,,,1,0,O(nm),,,"[https://www.ncbi.nlm.nih.gov/pubmed/2184437 Lawrence, Reilly (1990)]","Lawrence, Reilly",1990,https://www.ncbi.nlm.nih.gov/pubmed/2184437,10.1002/prot.340070105,"['Charles E. Lawrence', 'Andrew A. Reilly']",2,['An expectation maximization (EM) algorithm for the identification and characterization of common sites in unaligned biopolymer sequences'],,,,0,0,3,"n: 3,
m: 3,
mn: 3",O(nm),10,"n: number of sequences
m: length of sequences",mn,,,Word RAM,words,3,"n: 3,
m: 3,
mn: 3",O(nm),https://www.ncbi.nlm.nih.gov/pubmed/2184437,0,1,,0,,1,,0,0,,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2966288/,,,,m=n= (value/2),,,,,,,250000,0,,2.50E+11,0,,2.50E+17,0,,4,,,Bioinformatics
Motif Search,99,2,,Motif Search,19,,,1,0,O(nm),,,[https://science.sciencemag.org/content/262/5131/208 Lawrence Gibbs Sampling (1993)],Lawrence Gibbs Sampling,1993,https://science.sciencemag.org/content/262/5131/208,,"['CHARLES E. LAWRENCE', 'STEPHEN F. ALTSCHUL', 'MARK S. BOGUSKI', 'JUN S. LIU', 'ANDREW F. NEUWALD', 'JOHN C. WOOTTON']",6,['Detecting Subtle Sequence Signals: a Gibbs Sampling Strategy for Multiple Alignment'],,,,0,0,3,"n: 3,
m: 3,
mn: 3",O(nm),10,"n: number of sequences
m: length of sequences",mn,,,Word RAM,words,2.5,"n: 3,
m: 3,
mn: 2.5",O(n + m),"derived: two data structures, one uses O(n) and one uses O(m)",1,0,,0,,1,,0,0,,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2966288/,,,,,,,,,,,,,,,,,,,,4,,,Bioinformatics
Motif Search,99,2,,Motif Search,20,,,1,0,O(nm),,,[https://www.ncbi.nlm.nih.gov/pubmed/12015892 MotifSampler  (2001)],MotifSampler ,2001,https://www.ncbi.nlm.nih.gov/pubmed/12015892,10.1089/10665270252935566,"['Gert Thijs', 'Kathleen Marchal', 'Magali Lescot', 'Stephane Rombauts', 'Bart De Moor', 'Pierre Rouz√©', 'Yves Moreau']",7,['A Gibbs Sampling Method to Detect Overrepresented Motifs in the Upstream Regions of Coexpressed Genes'],,,,0,0,3,"n: 3,
m: 3,
mn: 3",O(nm),10,"n: number of sequences
m: length of sequences",mn,,,Word RAM,words,2.5,"n: 3,
m: 3,
mn: 2.5",O(n + m),derived: essentially just modified Gibbs sampling,1,0,,0,,1,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,4,,,Bioinformatics
Texture Synthesis,103.1,2,,Texture Synthesis,21,,,0,0,O(n^2 log n),,,[https://dl.acm.org/doi/abs/10.1145/344779.345009 tree-structured vector quantization Wei-Levoy (2000)],tree-structured vector quantization Wei-Levoy,2000,https://dl.acm.org/doi/abs/10.1145/344779.345009,10.1145/344779.345009,"['Li-Yi Wei', 'Marc Levoy']",2,['Fast texture synthesis using tree-structured vector quantization'],,,,0,0,5.01,n: 5.01,O(n^2 log n),21,"n: number of pixels in input image
d: neighborhood size",n,,,TSVQ Tree,,3,"n: 3,
d: 3",O(nd),https://dl.acm.org/doi/abs/10.1145/344779.345009,0,1,,0,,1,,0,0,,0,0,,,,,,,,,,,,1000000000,,,,,,,,,3,,,Image Processing
Texture Synthesis,103.1,2,,Texture Synthesis,22,,,0,0,O(N),,,"[https://arxiv.org/abs/1705.06566 Spatial GAN-Based; Urs Bergmann, Nikolay Jetchev, Roland Vollgraf (2017)]","Spatial GAN-Based; Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",2017,https://arxiv.org/abs/1705.06566,,"['Urs Bergmann', 'Nikolay Jetchev', 'Roland Vollgraf']",3,['Learning Texture Manifolds with the Periodic Spatial GAN'],,,,0,0,3,"n: 3,
N: 3",O(N),,N: number of pixels in output image,n,,,,,3,N: 3,O(N),https://arxiv.org/abs/1705.06566,0,1,,0,,1,,0,0,,0,0,,,,,,,,,,,,1000000000,,,,,,,,,3,,,Image Processing
n-Queens Problem,132,2,,n-Queens Completion,23,,,1,0,O(n),,experimental results in paper,[https://arxiv.org/abs/1912.05935 Grigoryan (2018)],Grigoryan,2018,https://arxiv.org/abs/1912.05935,,['E. Grigoryan'],1,['Linear algorithm for solution n-Queens Completion problem'],,,,1,1->6,3,"n: 3,
n^2: 2.5",O(n),6,"n: board of dimension n x n
k: number of queens",n^2,,,,,5,"n: 3,
n^2: 5",O(n),Derived: two control arrays of size O(n),1,0,,1,Monte Carlo,1,error < 0.0001 and decreases with increasing n,0,0,,0,0,,,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
Cycle Detection,32,2,,Cycle Detection,24,,,1,0,(\mu + \lambda)(1+\Theta(1/sqrt(M))),"mentioned in conclusion that the analysis might be interesting, but it wasn't actually done",https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat,[https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat Sedgewick; Szymanski; and Yao (1982)],Sedgewick; Szymanski; and Yao,1982,https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat,10.1137/0211030,"['Robert Sedgewick', 'Thomas G. Szymanski', 'Andrew C. Yao']",3,['The Complexity of Finding Cycles in Periodic Functions'],1,0,https://www.semanticscholar.org/paper/The-Complexity-of-Finding-Cycles-in-Periodic-Sedgewick-Szymanski/8f1e5d92733380112a44630d0561611121c3228d,0,0,3,"\mu: 3,
\lambda: 3,
M: 1.5",$(\mu + \lambda)(1+\Theta(1/sqrt(M)))$,,"$\mu$: first index of element in cycle
$\lambda$: period
$M$: number of memory cells available",\mu,,,,Memory cells,1,"M: 3,
\mu: 1",M,https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat,0,1,,0,,0,,0,0,,0,0,,"cycle detection or cycle finding is the algorithmic problem of finding a cycle
 in a sequence of iterated function values.",,,,,,,,,,9.965,100.3512293,,#REF!,#REF!,,#REF!,#REF!,,6,,,Combinatorics
Cycle Detection,32,2,,Cycle Detection,25,,,1,0,\mu + 3/2 \lambda,"Elements have independently random magnitudes, subject to periodicity constraints \mu and \lambda",https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view,[https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view Nivasch (2004)],Nivasch,2004,https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view,,['Gabriel Nivasch'],1,['Cycle Detection Using a Stack'],,,,0,0,3,"\mu: 3,
\lambda: 3",$O(\mu + \lambda)$,,"$\mu$: index of first element in cycle
$\lambda$: cycle length",\mu,,,not mentioned,Stack size,2,\mu: 2,O(\log\mu),https://www.gabrielnivasch.org/fun/cycle-detection,0,1,,0,,0,,0,0,,0,0,,"cycle detection or cycle finding is the algorithmic problem of finding a cycle
 in a sequence of iterated function values.",,,,,,,,,,9.965,,,,,,,,,6,,,Combinatorics
Sorting,1,2,Comparison Sorting,Comparison Sorting,26,,,1,1,O( n² ),uniform distribution over all possible permutations,"""CLRS""?",[- Naive sorting (1940)],Naive sorting,1940,-,,[],0,,1,1,,1,0,5,n: 5,O(n^2),20,n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),in-situ,1,0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,NA,,,,,,,1000000,1,,1.00E+12,1,,1.00E+18,1,,4,NA,NA,Combinatorics
Sorting,1,2,Comparison Sorting,Comparison Sorting,27,,,1,1,O( n² ),Any distribution (runtime is same regardless of input),(same behavior across all inputs),[- Selection Sort (1962)],Selection Sort,1962,-,,[],0,,,,,0,0,5,n: 5,O(n^2),20,n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),in-situ,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Selection_sort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
Sorting,1,2,Comparison Sorting,Comparison Sorting,28,,,1,1,O(n logn),"Any distribution (runtime is same regardless of input, at least in the typical implementation)",(same behavior across all inputs),[- Merge Sort (1945)],Merge Sort,1945,-,,[],0,,,,,1,4->5,4,n: 4,O(n \log n),11,n: size of list,n,,,Word RAM,words,3,n: 3,O(n),need some way to store partially processed lists while merging,1,0,,0,,0,,0,0,,0,0,"https://en.wikipedia.org/wiki/Merge_sort#cite_note-2

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
Sorting,1,2,Comparison Sorting,Comparison Sorting,29,,,1,1,O( n² ),uniform distribution over all possible permutations,(can be easily derived),[- Bubble Sort (1956)],Bubble Sort,1956,-,,[],0,,,,,0,0,5,n: 5,O(n^2),20,n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),in-situ,1,0,,0,,0,,0,0,,0,0,https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
Sorting,1,2,Comparison Sorting,Comparison Sorting,30,,,1,1,O(n logn),uniform distribution over all possible permutations,(lower bound for average-case in sorting + upper bound for heapsort),[https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23 Intro Sort (1997)],Intro Sort,1997,https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23,10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23,['DAVID R. MUSSER'],1,['Introspective Sorting and Selection Algorithms'],,,,0,0,4,n: 4,O(n \log n),11,n: size of list,n,,,Word RAM,words,2,n: 2,O(logn),(see quicksort + heapsort),1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Introsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
Sorting,1,2,Comparison Sorting,Comparison Sorting,31,,,1,1,O(n logn),uniform distribution over all possible permutations (reference proof possibly not complete?),https://www.sciencedirect.com/science/article/pii/030439759390364Y?via%3Dihub,[https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern Heap Sort (1964)],Heap Sort,1964,https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern,,['J. Williams'],1,['Algorithm 232: Heapsort'],,,,0,0,4,n: 4,O(n \log n),11,n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),(can be easily derived),1,0,,0,,0,,0,0,0,0,0,https://en.wikipedia.org/wiki/Heapsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
