 ,Family Name,"Looked at? (0 - no, 0.001 - briefly but seems to have issues, 1 - partially, 2 - [mostly] yes)",Subproblem (currently only for Parallel Algos),Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,Citation,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity (Auxiliary),Space Complexity Class,Space Complexity Reference,Derived Space Complexity?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,n = 1000 value,n = 1000 scale,n = 10^6 value,n = 10^6 scale,n = 10^9 value,n = 10^9 scale,Starting Complexity,Remarks,Papers for ratio evaluations,Domains,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,2,Max Flow,,1062,,,1,1,O(V^3*log(V)/p),(see max flow in sheet1),,[http://users.umiacs.umd.edu/~vishkin/TEACHING/4CLASS/SV82-maxflow.pdf Shiloach (1981)],Shiloach,1981,http://users.umiacs.umd.edu/~vishkin/TEACHING/4CLASS/SV82-maxflow.pdf,,,,,0,,O(V^3*log(V)/p),,"V: number of vertices
E: number of edges
U: maximum edge capacity
P: number of processors",,,Parallel RAM (unclear what type; seems like any could work?),words,O(E),"V: 5,
E: 3",can be derived?,,,0,,0,,0,1,p,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,1,Max Flow,,1063,,,1,1,O(VE*logU),(see max flow in sheet1),,[https://www.sciencedirect.com/science/article/pii/002200008590039X Gabow (1985)],Gabow,1985,https://www.sciencedirect.com/science/article/pii/002200008590039X,,,,,0,,O(VE*logU),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",can be derived?,,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,1,Max Flow,,1064,,,1,1,"O(E*sqrt(V)*log^2(U)*polylog(E, V, log(U))",(see max flow in sheet1),,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6979027 Lee, Sidford (2014)]","Lee, Sidford",2014,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6979027,,,,,0,,"O(E*sqrt(V)*log^2(U)*polylog(E, V, log(U))",,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",(derived in notes),,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,2,Max Flow,,1065,,,1,1,"O(E^{(10/7)}U^{(1/7)}polylog(V, E, log U))",(see max flow in sheet1),,[https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7782974 Madry (2016)],Madry,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7782974,,,,,0,,"O(E^(10/7)U^(1/7)polylog(V, E, log U))",,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",(derived in notes),,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,1,Max Flow,,1066,,,1,1,O(E^{(1+o(1))/sqrt(eps)}),(see max flow in sheet1),,"[https://epubs.siam.org/doi/abs/10.1137/20M1383525 Kathuria, Liu, Sidford (2020)]","Kathuria, Liu, Sidford",2020,https://epubs.siam.org/doi/abs/10.1137/20M1383525,,,,,0,,O(E^(1+o(1))/sqrt(eps)),,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: approximation parameter",,,Word RAM,words,O(E) or O(V^2) ?,"V: 5,
E: 3","unsure, please look",,,0,,1,1+eps,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,1,Max Flow,,1067,,,1,1,O(E^{(4/3+o(1))U^(1/3)}),(see max flow in sheet1),,"[https://epubs.siam.org/doi/abs/10.1137/20M1383525 Kathuria, Liu, Sidford (2020)]","Kathuria, Liu, Sidford",2020,https://epubs.siam.org/doi/abs/10.1137/20M1383525,,,,,0,,O(E^(4/3+o(1))U^(1/3)),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E) or O(V^2) ?,"V: 5,
E: 3","unsure, please look",,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,1,Max Flow,,1068,,,1,1,"O((E+V^{1.5})log(U)polylog(V, E, log U))",(see max flow in sheet1),,[https://arxiv.org/abs/2101.05719 Brand et al (2021)],Brand et al,2021,https://arxiv.org/abs/2101.05719,,,,,0,,"O((E+V^1.5)log(U)polylog(V, E, log U))",,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",(derived in notes),,,1,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,2,Max Flow,,1069,,,1,1,O(E^{(3/2-1/328)}*log(U)*polylog(E)),(see max flow in sheet1),,"[https://arxiv.org/abs/2101.07233 Gao, Liu, Peng (2021)]","Gao, Liu, Peng",2021,https://arxiv.org/abs/2101.07233,,,,,0,,O(E^(3/2-1/328)*log(U)*polylog(E)),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",(derived in notes),,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,1,Max Flow,,1070,,,1,1,O(E^{(1+o(1))}*log(U)),(see max flow in sheet1),,[https://arxiv.org/abs/2203.00671 Chen et al (2022)],Chen et al,2022,https://arxiv.org/abs/2203.00671,,,,,0,,O(E^(1+o(1))*log(U)),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",(derived in notes),,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,2,Max Flow,Integer Maximum Flow,1071,,,1,1,O(V^{1.66} log(V) log(U)),(see max flow in sheet1),,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (Parallel) (1997)],Goldberg & Rao (Parallel),1997,https://dl.acm.org/citation.cfm?id=290181,,,,,0,4.66,O(V^1.66 log(V) log(U)),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,PRAM,words,O(V^2),V: 5,https://dl.acm.org/citation.cfm?id=290181,0,,0,,0,,0,1,O(V),0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,2,Max Flow,Integer Maximum Flow,1072,,,1,1,O(E^{0.5} V log(V) log(U)),(see max flow in sheet1),,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (Parallel) (1997)],Goldberg & Rao (Parallel),1997,https://dl.acm.org/citation.cfm?id=290181,,,,,0,5,O(E^0.5 V log(V) log(U)),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,PRAM,words,O(V^2),V: 5,https://dl.acm.org/citation.cfm?id=290181,0,,0,,0,,0,1,O(V),0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Multiplication,1,,,1073,,,1,1,O(n^3/log n),,,[https://scholar.google.com/scholar?hl=en&as_sdt=0%2C22&q=On+economical+construction+of+the+transitive+closure+of+an+oriented+graph.&btnG= Method of Four Russians (1970)],Method of Four Russians,1970,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C22&q=On+economical+construction+of+the+transitive+closure+of+an+oriented+graph.&btnG=,,,,1,0,,O(n^3/log n),,n: dimension of square matrix,,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,3,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Multiplication,2,,,1074,,,1,1,O(n^{2.37285956}),Any reasonable nontrivial distribution,https://arxiv.org/abs/2202.08996,"[https://arxiv.org/pdf/2010.05846.pdf Alman, Vassilevska Williams (2020)]","Alman, Vassilevska Williams",2020,https://arxiv.org/pdf/2010.05846.pdf,,,,1,0,,O(n^2.37285956),,n: dimension of square matrix,,,Word RAM,words,O(n^2),n: 5,through re-use of space in recursive branches (response from Virginia),,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,3,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,5 - Graph Coloring,1,,,1075,,,1,1,O(2.1592^n),,,[https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub Byskov (2004)],Byskov,2004,https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub,,,,,,,O(2.1592^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 5-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,5 - Graph Coloring,1,,,1076,,,1,1,O(2^n*poly(n)),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392 Bjorklund, Husfeldt, Theorem 1 (2006)]","Bjorklund, Husfeldt, Theorem 1",2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,,,,,O(2^n*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n*poly(n)),n: 8,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 5-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,5 - Graph Coloring,1,,,1077,,,1,1,O(2.2461^n),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392 Bjorklund, Husfeldt, Proposition 2 (2006)]","Bjorklund, Husfeldt, Proposition 2",2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,,,,,O(2.2461^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(poly(n)),n: 7,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 5-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,5 - Graph Coloring,1,,,1078,,,1,1,O((2-eps)^n) for some eps>0,,,[https://drops.dagstuhl.de/opus/volltexte/2021/14182/pdf/LIPIcs-ICALP-2021-113.pdf Zamir (2021)],Zamir,2021,https://drops.dagstuhl.de/opus/volltexte/2021/14182/pdf/LIPIcs-ICALP-2021-113.pdf,,,,,,,O((2-eps)^n) for some eps>0,,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 5-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,6 - Graph Coloring,1,,,1079,,,1,1,O(2.3289^n),,,"[https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub Byskov, Theorem 14 (2004)]","Byskov, Theorem 14",2004,https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub,,,,,,,O(2.3289^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 6-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,6 - Graph Coloring,1,,,1080,,,1,1,O(2.2680^n),,,"[https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub Byskov, Theorem 20 (2004)]","Byskov, Theorem 20",2004,https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub,,,,,,,O(2.2680^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n),n: 8,https://www.sciencedirect.com/science/article/pii/S0167637704000409,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 6-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,6 - Graph Coloring,1,,,1081,,,1,1,O(2^n*poly(n)),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392 Bjorklund, Husfeldt, Theorem 1 (2006)]","Bjorklund, Husfeldt, Theorem 1",2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,,,,,O(2^n*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n*poly(n)),n: 8,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 6-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
