 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Drysdale, Young",1975,https://epubs.siam.org/doi/abs/10.1137/0204022; https://drive.google.com/file/d/1Ddnx6AO0IBsr4jlVvF5bBw28Av4ucakG/view,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network,510,,,,,,,,,,,,,,1,? $O(n \log^2{n})$,12,,,,,Rezaul: Here is a link to the article: https://drive.google.com/file/d/1Ddnx6AO0IBsr4jlVvF5bBw28Av4ucakG/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting; Integer Sorting,,,,,,,,,,Parallel bucket-sort - Hirschberg (1),1977,https://dl.acm.org/doi/abs/10.1145/359576.359582,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n \log{n}),11,,,"n: size of list (integers from range {0, 1, 2, ..., m - 1})",,https://dl.acm.org/doi/abs/10.1145/359576.359582,,SIMD-SM-R,210,,,,,,,,,,,,,,1,$n$,10,,,space complexity: O(nm),,"Rezaul: This is an integer sorting algorithm with integers coming from {0, 1, 2, ..., m - 1}. -included this info, should be resolved now",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting; Integer Sorting,,"""enumeration sorting""",,,,,,,,Parallel bucket-sort - Hirschberg (2),1977,https://dl.acm.org/doi/abs/10.1145/359576.359582,,,,,,,,$O(k \log{n})$,$O(\log{n})$,1,,$O(k \log{n} n^(1+1/k))$,,,,"n: size of list
m-1: largest number in list works on arbitrary integers (and arbitrary not-necessarily integers)?
k: arbitrary int >=2",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,SIMD-SM-R,210,,,,,,,,,,,,,,1,$n^(1+1/k)$,,,,"space complexity: O(nm) O(n^2)?
first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167",,"Rezaul: The paper states under the inout specification for Algorithm 3 that the input numbers can be arbitrary integers. The algorithm does bucket sort on the ""count"" values which are integers in {0, 1, 2, ..., n }. So, the space requirement should be something like O(n^2). This bound needs to be carefully verified. But the bound is not O(mn) as m is not defined for these algorithms. However, I think these algorithms (starting from Algorithm 3) work for arbitrary numbers (not necessarily integers).",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"Uses Valiant's [1975] merge technique; ""enumeration sorting"", allows fetch conflicts",,,,,,,,Preperata (1),1977,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167&tag=1,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n \log^2{n})$,12,,,n: size of list,,,,SIMD-SM-R ? (memory fetch conflicts),210,,,,,,,,,,,,,,1,$n \log{n}$,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"Uses Valiant's [1975] merge technique; ""enumeration sorting"", doesn't allow fetch conflicts",,,,,,,,Preperata (2),1977,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167&tag=1,,,,,,,,$C/alpha \log{n} + o(\log{n})$,$O(\log{n})$,1,,$n^(1+alpha) \log{n}$,11,,,"n: size of list
0>alpha<=1
C: constant",,,,SIMD-SM ? (no memory fetch conflicts),200,,,,,,,,,,,,,,1,$n^(1+alpha)$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,s^2-way merge sort - Thompson and Kung (1),1977,https://dl.acm.org/doi/abs/10.1145/359461.359481,,,,,,,,$O(n^0.5)$,$O(n^0.5)$,,,$O(n^1.5)$,16,,optimal within a factor of 2 for large n,"n: size of list (n=mxm, m assumed to be power of 2)",,,,"similar to ILLIAC IV machine, SIMD, mesh-connected array",200,,,,,,,,,,,,,,1,$n$,10,,,mentions lower bound,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,adaptation of Batcher's bitonic merge sort - Thompson and Kung (2),1977,https://dl.acm.org/doi/abs/10.1145/359461.359481,,,,,,,,$O(n^0.5)$,$O(n^0.5)$,,,$O(n^1.5)$,16,,optimal within a factor of 4.5,"n: size of list (n=mxm, m assumed to be power of 2)",,,,"similar to ILLIAC IV machine, SIMD, mesh-connected array",200,,,,,,,,,,,,,,1,$n$,10,,,mentions lower bound,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Siegel,1977,https://dl.acm.org/doi/abs/10.1145/800255.810655,,,,,,,,O(log^2(n)),,,,,,,,,,,,SIMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,Hardware sorter,,,,,,,,"Rebound sort - Chen, Lum, Tung ",1978,"https://dl.acm.org/doi/abs/10.5555/1286643.1286685 //
https://drive.google.com/file/d/1LOwpJ7Ct7aSE07Ks0xPWbXtSx2DUZP1p/view?usp=sharing (section 2.2.3)",4,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,,,,,,1,$n-1$,10,,,,,Rezaul: Section 2.2.3 of the following thesis describes (with performance bounds) the rebound-sorter from Cehn et al.'s 1978 paper: https://drive.google.com/file/d/1LOwpJ7Ct7aSE07Ks0xPWbXtSx2DUZP1p/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Odd-even transposition sort w/ uniform ladder - Chen, Eswaran, Lum, Tung",1978,https://link.springer.com/article/10.1007/BF00991635,,,,,,,,$(n+1)/2$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,,,,,,1,$n-1$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Todd,1978,https://ieeexplore.ieee.org/abstract/document/5390917,,,,,,,,$2n+\log{n}-1$,$O(n)$,10,,$O(n\log{n})$,11,,,n: size of list,,,,hardware sorter,520,,,,,,,,,,,,,,1,$\log{n}$,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,parallel tree sort,,,,,,,,Bentley and Kung,1979,https://www.eecs.harvard.edu/htk/static/files/bg891xp4727.pdf,,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,https://www.eecs.harvard.edu/htk/static/files/bg891xp4727.pdf,mentions speedup,"n: size of list
p: number of square nodes in tree
log p<=n<=p",,,,"""new tree-structured machine suitable for VSLI implementation""",600,,,,,,,,,,,,,,1,p?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,adaptation of Batcher's bitonic sort on a mesh-connected processor array,,,,,,,,Nassimi and Sahni,1979,https://ieeexplore.ieee.org/abstract/document/1675216,,,,,,,,$O(n^0.5)$,$O(n^0.5)$,,,$O(n^1.5)$,16,,,n: size of list,,,,SIMD,200,,,,,,,,,,,,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,network sorter,,,,,,,,Preperata and Vuillemin,1979,https://ieeexplore.ieee.org/abstract/document/4568010,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n\log^2{n})$,12,,,n: size of list,,,,"network sorter; ""compliant with VLSI design""; Cube connected cycles",510,,,,,,,,,,,,,,1,$n$,10,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"Hardware sorter; block access memory, has two processor-to-processor interconnections",,,,,,,,odd-even sort - Hsiao and Menon (1),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,$O(n/p \log{n/p} + n)$,$O(n)$,10,,$O(n \log{n/p} + np)$,,,YES,"n: size of list
p: number of processors
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,520,,,,,,,,,,,,,,1,$p$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"Hardware sorter; block access memory, has two processor-to-processor interconnections",,,,,,,,modified Stone sort - Hsiao and Menon (2),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,$O(n/p \log{n/p} + n/p \log^2{p})$,$O(\log^2{n})$,2,,$O(n \log{n/p} + n \log^2{p})$,,,YES,"n: size of list
p: number of processors
p - has to be a power of 2
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,520,,,,,,,,,,,,,,1,$p$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,hardware sorter; only works for specific number of processors - once built works only for the given value of p,,,,,,,,specialized minimum time sort - Hsiao and Menon (3),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,$O(n/p \log{n/p})$,$O(1)$,0,,$O(n \log{n/p})$,,,YES,"n: size of list
p: number of processors
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,520,,,,,,,,,,,,,,1,$p$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"sorting on two or more ladders - Chin, Fok",1980,https://ieeexplore.ieee.org/abstract/document/1675633,,,,,,,,$2n+1$,$O(n)$,10,,$O(n^2)$ ?,20,,,"m: loops per ladder
n: size of list",,,,hardware sorter,520,,,,,,,,,,,,,,1,$O((n-1)(m-1))$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,Kim,1980,https://koasas.kaist.ac.kr/handle/10203/33490,,,,,,,,,,,,,,,,"n: size of list
p: number of processors",,,,SIMD,200,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,two round sorting,,,,,,,,Haggkvist and Hell,1981,https://epubs.siam.org/doi/abs/10.1137/0210034,,,,,,,,2 // O(1),$O(1)$,0,,$O(n^(3/2) \log{n})$,,,,,,https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5,,sorting network,510,,,,,,,,,,,,,,1,$O(n^(3/2) \log{n})$,,,,"mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf)
mentions lower bounds",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Lee et al.,1981,https://ieeexplore.ieee.org/abstract/document/1675805,,,,,,,,$2n$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,,,,,,1,$n/2$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Shiloach and Vishkin,1981,https://link.springer.com/chapter/10.1007/BFb0105127,,,,,,,,"O(n/p log n + log n log p) for p<=n
O(log^2(n)/log(p/n) + log n) for p>=n",$O(\log{n})$,1,,O(n log n) if p<n or O(p log n) if p>=n,11,,"optimal for p<=n/log n,
same result for p=ceiling(n^(1+1/k)) as Hirschberg '78 and Preperata '78","n: size of list
p: number of processors",,,,SIMD-R ??,210,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,randomized,,,0,,,https://ieeexplore.ieee.org/abstract/document/4568337,,Reischuk,1981,https://ieeexplore.ieee.org/abstract/document/4568337,,,,,,,,$O(\log{n})$,$O(\log{n})$ expected,1,,$O(n \log{n})$ expected,11,,,n: size of list,,,,CREW PRAM,130,,,,,,,,,1,,,,,1,$n$,10,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,hardware sorter,,,,,,,,Dohi et al.,1982,https://dl.acm.org/doi/abs/10.1145/1067649.801730,,,,,,,,n b tau (a+1+(n-l)/2^(l-1)),n b tau (a+1+(n-l)/2^(l-1)),,,2^l n b tau (a+1+(n-l)/2^(l-1)),,,,"n: size of list (power of two)
b: length of data items in bytes
l: level of bottom processors
tau=1/T: average time to send byte from node after sorting
M: bus transfer rate
a=T/M",,,,hardware sorter,,,,,,,,,,,,,,,1,2^l,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Parallel enumeration sorting scheme - Yasuura et al.,1982,https://ieeexplore.ieee.org/abstract/document/1675943,,,,,,,,$2n$,$O(n)$,10,,$O(n^2)$,20,,,"n: size of list (has integer keys, binary representation)",,,,hardware sorter,520,,,,,,,,,,,,,,1,$n$,10,,,,,"Rezaul: When sorting a sequence of length n using a single sorter of size m >= n (i.e., containing m cells/processors) the time required is O(n). This is optimal assuming that the input sequence must be fed to the sorter sequentially. The paper seems to mean that data is transferred from the memory to the sorter sequentially but it does not clearly state if multiple sequences can be read from memory simultaneously. When n > m, then the input sequence is divided into n/m segments and the single sorter is used once for each of (n/m)^2 pairs of segments. Since the sorter takes O(m) time every time it is used, total time complexity is O(n^2/m). The time complexity can be reduced by using multiple sorters in parallel. However, the way they describe it is a bit confusing. The paper says that (n/m)^2 sorters will be used in parallel. But doing so will require simultaneously accessing (n/m) segments from the memory. That will require only O(m) time for reading the input and computing the c_ij values. Seems like the O(n) time complexity comes from writing the c_i values sequentially to the memory. To me it seems like one can use only n/m sorters in a pipelined sequence (like a single sorter of size n composed of n/m sorters of size m each put in sequence) and read the input only once from the memory and execute the entire algorithm like the algorithm for the original m >= n case. This will require only O(n) time. ",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"N&S sort - Nassimi, Sahni",1982,https://dl.acm.org/doi/pdf/10.1145/322326.322329,,,,,,,,$O(k \log{n})$,$O(\log{n})$,1,,$O(n^(1+1/k) k \log{n})$,,,,"n: size of list (power of two ?)
1<=k<=log n",,,,"network sorter, SIMD (Cube connected and perfect shuffle)",200,,,,,,,,,,,,,,1,n^(1+1/k),,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"""sorting network""; expander graphs, epsilon-halving, epsilon-nearsort",,,,,,,,"Ajtai, Komlos, Szemeredi (AKS)",1983,https://dl.acm.org/doi/pdf/10.1145/800061.808726,"""very large""; ""unsuitable for actual implementation""",,https://dl.acm.org/doi/pdf/10.1145/800061.808726,,,,,$O(\log{n})$,$O(\log{n})$,1,https://dl.acm.org/doi/pdf/10.1145/800061.808726,$O(n \log^2{n})$ ?,12,https://dl.acm.org/doi/pdf/10.1145/800061.808726,,n: size of list,n,,,"""comparator network - deterministic sequence of switches"" ??",510,,,,,,,,,,,,,,1,$n \log{n}$,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Kumar and Hirschberg,1983,https://ieeexplore.ieee.org/abstract/document/1676217,,,,,,,,11n^(1/2)t_r+2log n^(1/2) t_c +5/2 n^(1/2) t_e,11n^(1/2)t_r+2log n^(1/2) t_c +5/2 n^(1/2) t_e,,,11n^(3/2)t_r+2nlog n^(1/2) t_c +5/2 n^(3/2) t_e,,,,"n: size of list
t_r: routing time
t_c: compare-exchange time
t_e: exchange time",,,,"network sorter, SIMD ?",200,,,,,,,,,,,,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Kruskal,1983,https://ieeexplore.ieee.org/abstract/document/1676138/authors#authors,,,,,,,,1.893 log n loglog n / logloglog n,ceiling(log n/log G)((G-1)/floor(p/n)+log((G-1)/floor(p/n))+3/log3 loglog(p^2/n) +6) +O(Gn/p) = ??,,https://ieeexplore.ieee.org/abstract/document/1676138/authors#authors,$O(n \log{n} \log{\log{n}} / \log{\log{\log{n}}}),,,,"n: size of list
p: number of processors
G: number of processor groups",,,,CREW PRAM,120,,,,,,,,,,,,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Akl,1983,https://link.springer.com/article/10.1007/BF02243071,,,,,,,,$O(n^\epsilon)$,approaching O(1) ?,0,,$O(n \log{n})$,11,https://link.springer.com/article/10.1007/BF02243071,,"n: size of list
0<epsilon<1",,,,SIMD,200,,,,,,,,,,,,,,1,$n^(1-\epsilon)$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,randomized,,,,O(log n),,,,Reif and Valiant,1983,https://dl.acm.org/doi/abs/10.1145/800061.808727,,,,,,,,$O(\alpha \log{n}) w/ high (1-n^(-alpha)) probability for big alpha,$O(\log{n})$ expected,1,,$O(n \log{n})$ expected,11,,,n: size of list,,,,sorting network,510,,,,,,,,,1,,,,,1,$n$,10,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Miranker, Tang, Wong",1983,https://ieeexplore.ieee.org/abstract/document/5390461,,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,,,,,,1,$O(n)$,10,,,,,"Rezaul: Performs \Theta(n^2) work in \Theta(n) parallel time to sort n numbers. -added information, resolved",,,,,,,,,,,,,,,,,,,,,,
